panel,design,design_short,scheme,scheme_label,lag_max,income,income_se,dem,n_gmm,n_inst,obs,countries
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),2,-0.21362774867831602,0.12424254153502254,0.4126526528357247,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),3,-0.2487796308355752,0.1191949225918016,0.459222263448927,17,27,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),4,-0.25596745648647934,0.11674031102304448,0.4552375181869227,24,34,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),5,-0.2331992244350496,0.10576062189729502,0.4596650037325266,30,40,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),6,-0.193843504461356,0.09807122672644157,0.4633762579074408,35,45,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),7,-0.1720027396713366,0.09413176734332729,0.47247900265036713,39,49,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),8,-0.17424323820164855,0.09021579889405315,0.4784046927180268,42,52,838,127
Freedom House,Paper's design (lags of democracy only),paper,none,One per lag and period (uncollapsed),Inf,-0.1291143441007352,0.07585984673292612,0.48882861391324006,45,55,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),2,-0.10357926859240774,0.10635309165694848,0.4686592975601547,1,11,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),3,-0.10593271975950103,0.10581278486860175,0.4804452656160185,2,12,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),4,-0.1076265187703438,0.10498283638395416,0.4837340278746689,3,13,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),5,-0.12403806568653408,0.10607018840625984,0.48452365635548056,4,14,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),6,-0.12467122617862358,0.1063076692463856,0.4841754628787487,5,15,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),7,-0.12989414413992595,0.10616977171427824,0.4812407006677214,6,16,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),8,-0.12552367185724833,0.10530241728156159,0.4824968318401398,7,17,838,127
Freedom House,Paper's design (lags of democracy only),paper,lag,One per lag distance (Roodman),Inf,-0.15423860708535653,0.11027694189411727,0.47316064118540313,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",2,-0.21362774867831602,0.12424254153502254,0.4126526528357247,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",3,-0.23950262953571544,0.117000626369491,0.49580252267156244,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",4,-0.23654606356940366,0.1144986022248246,0.5050409500851047,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",5,-0.24041941435751646,0.11496364314286858,0.5550358685298179,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",6,-0.2242686018092659,0.11546597425219303,0.5660235403716197,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",7,-0.2167020785941931,0.11774502109108238,0.55622157136726,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",8,-0.20825038853823763,0.1188771319731325,0.5345809335950567,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period,"One per period, summed",Inf,-0.20359021999188842,0.11754349439120443,0.547470202650153,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period_mean,"One per period, averaged",2,-0.21362774867831602,0.12424254153502254,0.4126526528357247,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period_mean,"One per period, averaged",3,-0.247498768181027,0.1171378524279199,0.4953614301446404,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period_mean,"One per period, averaged",4,-0.24972250193765033,0.11459206275768309,0.48503348852511186,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period_mean,"One per period, averaged",5,-0.257189546615479,0.1130129537682584,0.5209938960517053,9,19,838,127
Freedom House,Paper's design (lags of democracy only),paper,period_mean,"One per period, averaged",6,-0.24800549428052943,0.11098898788691904,0.5536368757845118,9,19,838,127
